revisionId,linesAdded,linesDeleted,numberOfFilesModified
1,767,41,20
2,557,45,17
3,556,39,17
4,571,45,17
5,574,40,16
6,571,39,16
7,5,3,1
8,71,0,1
9,70,0,1
10,70,0,1
11,8,8,1
12,42,5,1
13,1,1,1
14,2,0,1
15,115,208,2
16,118,210,2
17,128,210,2
18,69,221,2
19,606,316,9
20,47,36,3
21,45,36,3
22,44,37,4
23,171,16,21
24,2,2,1
25,63,25,1
26,127,41,1
27,63,25,1
28,104,34,1
29,120,1,3
30,318,1,3
31,156,1,3
32,119,1,3
33,591,24,9
34,465,1,6
35,411,3,4
36,454,2,6
37,1121,0,3
38,493,2,5
39,455,3,6
40,456,3,6
41,465,1,6
42,456,3,6
43,84,0,3
44,1489,0,26
45,1489,0,26
46,1489,0,26
47,1485,0,26
48,1365,0,23
49,1365,0,23
50,1364,0,22
51,1365,0,23
52,1364,0,22
53,98,419,20
54,97,418,19
55,347,131,5
56,193,25,4
57,6,13,1
58,165,21,4
59,248,31,4
60,173,21,4
61,173,21,4
62,6,13,1
63,92,19,2
64,143,20,3
65,185,22,4
66,6,13,1
67,1643,8157,49
68,1635,8156,48
69,1721,8157,49
70,1721,8157,49
71,1642,8156,48
72,1640,8156,48
73,615,791,18
74,1112,1033,16
75,1113,1033,16
76,1204,1080,21
77,1112,1033,16
78,1112,1033,16
79,445,709,7
80,1078,988,15
81,869,766,13
82,16,5,2
83,2662,0,63
84,2665,0,64
85,2665,0,64
86,8,2,2
87,612,3099,30
88,24,1,4
89,32,4,2
90,6,1,1
91,99,59,4
92,36,1,1
93,36,1,1
94,36,1,1
95,249,228,1
96,292,358,10
97,0,0,1
98,420,486,10
99,55,4,3
100,23,2,1
101,23,2,1
102,23,2,1
103,4,0,1
104,112,3,4
105,128,24,22
106,98,24,22
107,138,0,5
108,105,3,4
109,138,0,5
110,55,32,3
111,1923,1003,28
112,2174,1003,28
113,2153,1003,28
114,1940,1003,27
115,2191,1003,28
116,1804,1003,26
117,1752,817,27
118,1758,817,27
119,1659,817,26
120,1969,1030,28
121,1924,1003,28
122,1847,1030,27
123,2202,1003,28
124,1804,1003,26
125,1923,1003,28
126,9,0,2
127,2133,3,12
128,3067,13,16
129,3081,13,16
130,3175,13,16
131,1994,88,21
132,3122,13,16
133,3067,13,16
134,1895,88,22
135,1968,88,21
136,3122,13,16
137,3081,13,16
138,3321,3,27
139,3292,1,21
140,3422,3,25
141,3319,3,26
142,6,6,7
143,0,45,1
144,0,45,1
145,16,11,1
146,206,5,7
147,178,5,7
148,177,13,5
149,176,12,5
150,78,25,4
151,71,26,6
152,588,531,9
153,71,26,6
154,763,3,4
155,780,5,5
156,796,5,5
157,796,5,5
158,702,3,3
159,692,3,3
160,413,3,2
161,800,3,4
162,800,3,4
163,797,3,4
164,795,3,4
165,774,5,5
166,795,3,4
167,9,6,2
168,464,459,7
169,133,5,4
170,127,3,3
171,24,24,6
172,52,17,3
173,52,17,3
174,130,13,5
175,130,13,5
176,128,11,5
177,130,13,5
178,117,45,4
179,120,47,4
180,120,47,4
181,137,63,4
182,19,16,9
183,21,18,10
184,3,3,1
185,1,1,1
186,3,3,1
187,3,3,1
188,58589,57706,24
189,92,53,20
190,103,54,24
191,108,53,22
192,103,54,24
193,12,2,2
194,117,107,2
195,202,16,7
196,275,33,8
197,374,103,11
198,199,2,7
199,265,33,8
200,15363,0,61
201,15363,0,61
202,9,9,1
203,0,121,5
204,0,121,5
205,99,8,2
206,6,8,1
207,2,7,1
208,7,8,1
209,206,3,4
210,206,3,4
211,207,3,4
212,70,1,3
213,195,3,4
214,195,3,4
215,237,1,3
216,231,1,3
217,300,300,2
218,300,300,2
219,2,1,1
220,8,1,1
221,880,310,34
222,841,316,35
223,840,316,35
224,876,310,34
225,876,310,34
226,876,314,35
227,847,316,35
228,847,316,35
229,0,704,10
230,842,316,35
231,19,10,1
