authorId,changeId,revisionId,reviewPeriod,linesAdded,linesDeleted,numberOfFilesModified
1,1,1,0,767,41,20
1,1,2,0,557,45,17
1,1,3,0,556,39,17
1,1,4,0,571,45,17
1,1,5,0,574,40,16
1,1,6,0,571,39,16
4,2,7,0,5,3,1
6,3,8,0,71,0,1
6,3,9,18,70,0,1
6,3,10,0,70,0,1
6,4,11,0,8,8,1
6,5,12,0,42,5,1
9,6,13,0,1,1,1
9,7,14,0,2,0,1
10,8,15,0,115,208,2
10,8,16,3,118,210,2
10,8,17,3,128,210,2
10,8,18,0,69,221,2
11,9,19,0,606,316,9
7,10,20,1,47,36,3
7,10,21,1,45,36,3
7,10,22,0,44,37,4
9,11,23,-1,171,16,21
12,12,24,0,2,2,1
13,13,25,0,63,25,1
13,13,26,8,127,41,1
13,13,27,2,63,25,1
13,13,28,7,104,34,1
9,14,29,0,120,1,3
9,14,30,5,318,1,3
9,14,31,13,156,1,3
9,14,32,1,119,1,3
9,15,33,0,591,24,9
14,16,34,6,465,1,6
14,16,35,12,411,3,4
14,16,36,7,454,2,6
14,16,37,0,1121,0,3
14,16,38,5,493,2,5
14,16,39,11,455,3,6
14,16,40,7,456,3,6
14,16,41,5,465,1,6
14,16,42,11,456,3,6
10,17,43,63,84,0,3
7,18,44,2,1489,0,26
7,18,45,9,1489,0,26
7,18,46,16,1489,0,26
7,18,47,0,1485,0,26
15,19,48,37,1365,0,23
15,19,49,37,1365,0,23
15,19,50,0,1364,0,22
15,19,51,0,1365,0,23
15,19,52,0,1364,0,22
19,20,53,0,98,419,20
19,20,54,0,97,418,19
4,21,55,42,347,131,5
4,21,56,41,193,25,4
4,21,57,0,6,13,1
4,21,58,41,165,21,4
4,21,59,41,248,31,4
4,21,60,41,173,21,4
4,21,61,41,173,21,4
4,21,62,38,6,13,1
4,21,63,40,92,19,2
4,21,64,40,143,20,3
4,21,65,41,185,22,4
4,21,66,0,6,13,1
20,22,67,17,1643,8157,49
20,22,68,0,1635,8156,48
20,22,69,57,1721,8157,49
20,22,70,57,1721,8157,49
20,22,71,6,1642,8156,48
20,22,72,0,1640,8156,48
11,23,73,19,615,791,18
11,23,74,6,1112,1033,16
11,23,75,5,1113,1033,16
11,23,76,12,1204,1080,21
11,23,77,7,1112,1033,16
11,23,78,10,1112,1033,16
11,23,79,0,445,709,7
11,23,80,4,1078,988,15
11,23,81,1,869,766,13
21,24,82,0,16,5,2
22,25,83,0,2662,0,63
22,25,84,1,2665,0,64
22,25,85,1,2665,0,64
23,26,86,0,8,2,2
7,27,87,0,612,3099,30
24,28,88,0,24,1,4
25,29,89,0,32,4,2
26,30,90,0,6,1,1
26,30,91,408,99,59,4
28,31,92,1,36,1,1
28,31,93,532,36,1,1
28,31,94,0,36,1,1
31,32,95,0,249,228,1
32,33,96,21,292,358,10
32,33,97,0,0,0,1
32,33,98,13,420,486,10
33,34,99,0,55,4,3
34,35,100,282,23,2,1
34,35,101,0,23,2,1
34,35,102,283,23,2,1
25,36,103,0,4,0,1
35,37,104,4,112,3,4
35,37,105,600,128,24,22
35,37,106,600,98,24,22
35,37,107,0,138,0,5
35,37,108,1,105,3,4
35,37,109,0,138,0,5
42,38,110,0,55,32,3
43,39,111,12,1923,1003,28
43,39,112,1,2174,1003,28
43,39,113,1,2153,1003,28
43,39,114,0,1940,1003,27
43,39,115,1,2191,1003,28
43,39,116,9,1804,1003,26
43,39,117,13,1752,817,27
43,39,118,13,1758,817,27
43,39,119,13,1659,817,26
43,39,120,14,1969,1030,28
43,39,121,12,1924,1003,28
43,39,122,14,1847,1030,27
43,39,123,6,2202,1003,28
43,39,124,12,1804,1003,26
43,39,125,12,1923,1003,28
7,40,126,0,9,0,2
7,41,127,0,2133,3,12
10,42,128,134,3067,13,16
10,42,129,134,3081,13,16
10,42,130,135,3175,13,16
10,42,131,148,1994,88,21
10,42,132,134,3122,13,16
10,42,133,134,3067,13,16
10,42,134,142,1895,88,22
10,42,135,154,1968,88,21
10,42,136,134,3122,13,16
10,42,137,134,3081,13,16
7,43,138,5,3321,3,27
7,43,139,12,3292,1,21
7,43,140,6,3422,3,25
7,43,141,0,3319,3,26
46,44,142,0,6,6,7
38,45,143,1,0,45,1
38,45,144,0,0,45,1
48,46,145,0,16,11,1
49,47,146,0,206,5,7
49,47,147,0,178,5,7
51,48,148,0,177,13,5
51,48,149,0,176,12,5
52,49,150,0,78,25,4
52,49,151,6,71,26,6
52,49,152,6,588,531,9
52,49,153,5,71,26,6
55,50,154,30,763,3,4
55,50,155,50,780,5,5
55,50,156,100,796,5,5
55,50,157,51,796,5,5
55,50,158,16,702,3,3
55,50,159,15,692,3,3
55,50,160,0,413,3,2
55,50,161,27,800,3,4
55,50,162,23,800,3,4
55,50,163,21,797,3,4
55,50,164,22,795,3,4
55,50,165,49,774,5,5
55,50,166,22,795,3,4
54,51,167,0,9,6,2
50,52,168,0,464,459,7
56,53,169,79,133,5,4
56,53,170,0,127,3,3
57,54,171,0,24,24,6
58,55,172,0,52,17,3
58,55,173,0,52,17,3
60,56,174,0,130,13,5
60,56,175,0,130,13,5
60,56,176,0,128,11,5
60,56,177,1,130,13,5
62,57,178,121,117,45,4
62,57,179,121,120,47,4
62,57,180,0,120,47,4
62,57,181,141,137,63,4
54,58,182,0,19,16,9
54,58,183,2,21,18,10
66,59,184,0,3,3,1
66,60,185,0,1,1,1
67,61,186,0,3,3,1
67,61,187,0,3,3,1
52,62,188,2,58589,57706,24
68,63,189,0,92,53,20
68,63,190,0,103,54,24
68,63,191,0,108,53,22
68,63,192,0,103,54,24
70,64,193,0,12,2,2
71,65,194,0,117,107,2
72,66,195,0,202,16,7
72,66,196,1,275,33,8
72,66,197,9,374,103,11
72,66,198,0,199,2,7
72,66,199,1,265,33,8
73,67,200,0,15363,0,61
73,67,201,1,15363,0,61
74,68,202,0,9,9,1
73,69,203,1,0,121,5
73,69,204,0,0,121,5
75,70,205,0,99,8,2
76,71,206,0,6,8,1
76,71,207,0,2,7,1
76,71,208,0,7,8,1
77,72,209,22,206,3,4
77,72,210,10,206,3,4
77,72,211,26,207,3,4
77,72,212,0,70,1,3
77,72,213,2,195,3,4
