changeID,revisionID,ecosystemTenure
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
2,7,0
3,8,0
3,9,18
3,10,0
4,11,0
5,12,0
6,13,0
7,14,0
8,15,0
8,16,3
8,17,3
8,18,0
9,19,0
10,20,1
10,21,1
10,22,0
11,23,-1
12,24,0
13,25,0
13,26,8
13,27,2
13,28,7
14,29,0
14,30,5
14,31,13
14,32,1
15,33,0
16,34,6
16,35,12
16,36,7
16,37,0
16,38,5
16,39,11
16,40,7
16,41,5
16,42,11
17,43,63
18,44,2
18,45,9
18,46,16
18,47,0
19,48,37
19,49,37
19,50,0
19,51,0
19,52,0
20,53,0
20,54,0
21,55,42
21,56,41
21,57,0
21,58,41
21,59,41
21,60,41
21,61,41
21,62,38
21,63,40
21,64,40
21,65,41
21,66,0
22,67,17
22,68,0
22,69,57
22,70,57
22,71,6
22,72,0
23,73,19
23,74,6
23,75,5
23,76,12
23,77,7
23,78,10
23,79,0
23,80,4
23,81,1
24,82,0
25,83,0
25,84,1
25,85,1
26,86,0
27,87,0
28,88,0
29,89,0
30,90,0
30,91,408
31,92,1
31,93,532
31,94,0
32,95,0
33,96,21
33,97,0
33,98,13
34,99,0
35,100,282
35,101,0
35,102,283
36,103,0
37,104,4
37,105,600
37,106,600
37,107,0
37,108,1
37,109,0
38,110,0
39,111,12
39,112,1
39,113,1
39,114,0
39,115,1
39,116,9
39,117,13
39,118,13
39,119,13
39,120,14
39,121,12
39,122,14
39,123,6
39,124,12
39,125,12
40,126,0
41,127,0
42,128,134
42,129,134
42,130,135
42,131,148
42,132,134
42,133,134
42,134,142
42,135,154
42,136,134
42,137,134
43,138,5
43,139,12
43,140,6
43,141,0
44,142,0
45,143,1
45,144,0
46,145,0
47,146,0
47,147,0
48,148,0
48,149,0
49,150,0
49,151,6
49,152,6
49,153,5
50,154,30
50,155,50
50,156,100
50,157,51
50,158,16
50,159,15
50,160,0
50,161,27
50,162,23
50,163,21
50,164,22
50,165,49
50,166,22
51,167,0
52,168,0
53,169,79
53,170,0
54,171,0
55,172,0
55,173,0
56,174,0
56,175,0
56,176,0
56,177,1
57,178,121
57,179,121
57,180,0
57,181,141
58,182,0
58,183,2
59,184,0
60,185,0
61,186,0
61,187,0
62,188,2
63,189,0
63,190,0
63,191,0
63,192,0
64,193,0
65,194,0
66,195,0
66,196,1
66,197,9
66,198,0
66,199,1
67,200,0
67,201,1
68,202,0
69,203,1
69,204,0
70,205,0
71,206,0
71,207,0
71,208,0
72,209,22
72,210,10
72,211,26
72,212,0
72,213,2
72,214,7
73,215,0
73,216,0
74,217,1
74,218,0
75,219,0
76,220,0
77,221,4
77,222,5
77,223,5
77,224,5
77,225,4
77,226,5
77,227,6
77,228,6
77,229,0
77,230,5
78,231,0
79,232,0
79,233,7
79,234,37
79,235,28
79,236,30
79,237,16
79,238,16
79,239,27
80,240,0
81,241,14
81,242,26
81,243,25
81,244,11
81,245,4
81,246,11
81,247,19
81,248,25
81,249,5
81,250,11
81,251,23
82,252,0
82,253,48
82,254,23
82,255,30
82,256,100
82,257,21
82,258,15
82,259,22
82,260,29
82,261,50
82,262,27
82,263,16
83,264,0
83,265,100
83,266,16
83,267,23
83,268,27
83,269,21
83,270,30
83,271,50
83,272,15
83,273,30
83,274,22
83,275,51
83,276,22
84,277,20
84,278,1
84,279,5
84,280,0
85,281,0
85,282,0
85,283,0
86,284,0
87,285,0
87,286,1
87,287,1
87,288,0
88,289,0
89,290,0
89,291,11
89,292,11
89,293,0
90,294,0
91,295,0
91,296,0
91,297,0
91,298,0
91,299,0
91,300,0
92,301,1
92,302,1
92,303,0
93,304,1
93,305,0
93,306,6
93,307,0
93,308,5
93,309,0
93,310,6
94,311,0
95,312,0
96,313,0
96,314,0
97,315,46
97,316,38
97,317,3
97,318,0
97,319,18
97,320,3
97,321,24
98,322,0
98,323,0
99,324,0
100,325,1
100,326,0
100,327,271
100,328,440
100,329,453
100,330,440
101,331,0
101,332,0
101,333,0
102,334,12
102,335,7
102,336,0
102,337,1
102,338,0
103,339,0
103,340,3
103,341,0
104,342,9
104,343,0
104,344,13
104,345,0
105,346,0
105,347,0
106,348,317
106,349,251
106,350,252
106,351,0
107,352,0
107,353,0
108,354,138
108,355,0
109,356,0
110,357,0
111,358,78
111,359,0
111,360,1
111,361,4
112,362,0
112,363,1
112,364,0
112,365,0
113,366,0
113,367,1
114,368,75
114,369,2
114,370,41
114,371,0
114,372,1
114,373,42
114,374,42
114,375,0
115,376,32
115,377,1
115,378,21
115,379,28
115,380,27
115,381,20
115,382,0
115,383,32
115,384,55
115,385,27
115,386,0
115,387,26
115,388,35
115,389,0
115,390,105
115,391,5
115,392,35
115,393,56
116,394,29
116,395,9
116,396,6
116,397,1
116,398,30
116,399,6
116,400,2
116,401,79
116,402,1
116,403,1
116,404,0
116,405,9
117,406,51
117,407,27
117,408,22
117,409,30
117,410,16
117,411,15
117,412,23
117,413,50
117,414,100
117,415,0
117,416,22
117,417,21
117,418,30
118,419,36
118,420,15
118,421,85
118,422,1
118,423,35
118,424,12
118,425,7
118,426,6
118,427,0
118,428,12
118,429,7
118,430,42
118,431,42
118,432,8
119,433,2
119,434,0
120,435,0
120,436,49
120,437,1
120,438,0
120,439,0
120,440,1
120,441,28
121,442,0
122,443,33
122,444,0
123,445,0
123,446,0
123,447,0
123,448,0
123,449,0
123,450,13
123,451,14
123,452,2
124,453,0
124,454,1
124,455,2
125,456,24
125,457,0
125,458,20
125,459,6
126,460,48
126,461,100
126,462,48
126,463,0
127,464,0
127,465,43
127,466,43
128,467,143
128,468,133
128,469,0
128,470,49
128,471,133
128,472,74
129,473,0
130,474,0
131,475,5
131,476,6
131,477,6
131,478,6
131,479,6
131,480,0
131,481,6
132,482,0
132,483,0
133,484,0
134,485,0
134,486,0
135,487,4
135,488,0
136,489,0
137,490,0
138,491,0
139,492,23
139,493,0
140,494,5
140,495,4
140,496,0
140,497,3
140,498,1
140,499,1
140,500,7
140,501,1
141,502,0
142,503,0
143,504,1
143,505,0
144,506,176
144,507,0
144,508,157
145,509,0
145,510,17
146,511,15
146,512,0
147,513,12
147,514,1
147,515,0
147,516,1
148,517,0
149,518,0
150,519,0
151,520,0
152,521,42
152,522,47
152,523,42
152,524,0
153,525,0
154,526,0
154,527,6
154,528,114
154,529,165
154,530,139
155,531,0
155,532,123
155,533,7
155,534,174
155,535,148
156,536,21
156,537,25
156,538,0
156,539,173
156,540,148
156,541,0
156,542,22
156,543,199
156,544,32
157,545,23
157,546,24
157,547,133
157,548,21
157,549,170
157,550,20
157,551,296
157,552,138
157,553,179
157,554,133
157,555,24
157,556,136
157,557,169
157,558,321
157,559,347
157,560,135
157,561,148
157,562,30
157,563,1
157,564,0
157,565,140
158,566,0
159,567,16
159,568,0
160,569,0
160,570,95
160,571,9
161,572,0
162,573,1
162,574,0
162,575,1
162,576,0
163,577,0
163,578,0
163,579,-8
163,580,8
164,581,14
164,582,14
164,583,0
165,584,17
165,585,0
166,586,0
167,587,0
168,588,0
169,589,0
170,590,0
170,591,25
171,592,0
171,593,25
172,594,0
173,595,0
174,596,0
175,597,0
175,598,20
176,599,20
176,600,0
177,601,0
178,602,10
178,603,0
179,604,15
179,605,0
180,606,0
181,607,1
181,608,2
181,609,1
181,610,28
181,611,28
181,612,1
181,613,28
181,614,0
181,615,33
181,616,0
181,617,28
181,618,1
181,619,1
181,620,119
181,621,0
181,622,0
181,623,1
181,624,27
181,625,1
182,626,0
182,627,91
182,628,5
182,629,0
182,630,0
182,631,0
182,632,0
183,633,28
183,634,0
183,635,27
183,636,0
183,637,2
183,638,119
183,639,28
183,640,28
183,641,33
183,642,28
183,643,28
183,644,0
184,645,26
184,646,31
184,647,25
184,648,26
184,649,26
184,650,0
184,651,117
184,652,26
184,653,26
185,654,0
186,655,0
187,656,0
187,657,0
188,658,3
188,659,40
188,660,91
188,661,3
188,662,3
188,663,124
188,664,111
188,665,92
188,666,3
188,667,0
188,668,111
188,669,3
188,670,3
188,671,111
188,672,3
188,673,111
188,674,3
189,675,0
190,676,7
190,677,0
191,678,7
191,679,7
191,680,0
192,681,20
192,682,50
192,683,0
192,684,22
193,685,0
194,686,0
195,687,0
196,688,0
197,689,0
198,690,4
198,691,2
198,692,1
198,693,22
198,694,3
198,695,4
198,696,4
198,697,9
198,698,3
198,699,3
198,700,1
198,701,4
198,702,0
198,703,1
199,704,6
199,705,0
199,706,48
200,707,48
200,708,0
200,709,8
200,710,6
201,711,0
202,712,0
202,713,0
202,714,286
203,715,0
203,716,345
204,717,61
204,718,0
204,719,0
205,720,146
205,721,191
205,722,0
205,723,58
205,724,354
205,725,350
205,726,152
205,727,426
205,728,354
206,729,0
206,730,0
207,731,73
207,732,0
207,733,4
207,734,1
208,735,0
208,736,7
208,737,4
208,738,76
209,739,0
210,740,0
211,741,0
212,742,0
213,743,0
213,744,0
213,745,0
214,746,0
215,747,0
216,748,0
216,749,17
216,750,423
217,751,0
218,752,0
218,753,1
218,754,256
218,755,189
219,756,0
220,757,0
220,758,10
220,759,10
220,760,52
220,761,8
220,762,0
220,763,0
221,764,78
221,765,0
222,766,0
222,767,16
222,768,5
223,769,24
223,770,9
223,771,24
223,772,5
223,773,0
224,774,1
224,775,0
225,776,0
225,777,0
226,778,0
227,779,5
227,780,3
227,781,0
227,782,5
227,783,7
228,784,0
228,785,281
228,786,288
228,787,280
229,788,2
229,789,1
229,790,0
229,791,9
229,792,1
230,793,0
231,794,0
232,795,0
233,796,0
234,797,4
234,798,89
234,799,0
234,800,0
234,801,530
234,802,3
234,803,89
234,804,90
235,805,0
235,806,407
236,807,0
237,808,0
237,809,5
237,810,217
238,811,13
238,812,243
238,813,242
238,814,243
238,815,0
239,816,0
239,817,3
239,818,3
240,819,0
240,820,0
241,821,0
241,822,0
241,823,6
241,824,0
241,825,6
241,826,6
241,827,0
242,828,0
242,829,20
242,830,17
243,831,18
243,832,3
244,833,0
245,834,0
246,835,0
246,836,3
247,837,0
248,838,0
249,839,1
249,840,0
250,841,0
250,842,0
251,843,0
251,844,4
251,845,1
252,846,0
253,847,0
254,848,0
255,849,0
256,850,0
257,851,0
258,852,0
259,853,40
259,854,0
259,855,20
259,856,90
259,857,89
259,858,0
260,859,0
261,860,0
262,861,8
262,862,0
263,863,0
263,864,979
263,865,28
264,866,131
264,867,0
264,868,135
264,869,0
265,870,0
266,871,0
267,872,0
267,873,0
268,874,14
268,875,67
268,876,16
268,877,494
268,878,0
269,879,0
270,880,22
270,881,0
270,882,28
271,883,0
