authorId,ecosystemTenure,changeAcitivity,reviewTenure,reviewActivity,appBlockTenure,appBlockActivity
1,1659,465,1714,465,2401,465
3,1432,51,1432,51,1432,51
4,458,218,459,218,458,218
5,1204,1276,1204,1276,1155,1276
6,1498,1023,1499,1023,1483,1023
7,1370,459,1370,459,1366,459
8,1618,946,1619,946,1613,946
9,1581,715,1581,715,1576,715
10,162,16,189,16,110,16
11,1527,777,1533,777,1533,777
12,1689,374,1689,374,1689,374
13,1615,36,1623,36,1623,36
14,343,135,343,135,341,135
15,0,10,37,10,1,10
17,60,5,62,5,58,5
18,939,31,966,31,947,31
19,1741,900,1741,900,2478,900
22,1740,304,1741,304,2477,304
23,1738,11,1738,11,2437,11
25,159,41,159,41,159,41
26,539,111,539,111,539,111
27,987,73,987,73,985,73
29,791,28,791,28,791,28
30,664,125,664,125,663,125
31,9,5,9,5,9,5
33,846,49,856,49,854,49
34,0,3,283,3,0,3
35,894,101,896,101,851,101
36,720,67,721,67,721,67
37,0,3,0,3,0,3
38,1580,713,1580,713,1574,713
39,1020,33,1020,33,1015,33
40,1547,89,1551,89,1548,89
41,47,6,73,6,68,6
42,1552,214,1552,214,1552,214
43,454,54,454,54,453,54
44,14,15,20,15,12,15
45,218,19,225,19,219,19
46,525,310,525,310,513,310
47,184,34,184,34,184,34
48,456,73,456,73,456,73
49,820,166,826,166,821,166
50,1490,436,1490,436,1485,436
51,1134,210,1134,210,1119,210
52,377,116,379,116,366,116
53,705,74,705,74,705,74
54,934,236,935,236,915,236
55,43,34,143,34,44,34
56,155,13,155,13,154,13
57,144,16,145,16,140,16
58,1134,25,1140,25,1140,25
60,224,84,225,84,224,84
61,356,34,356,34,356,34
62,643,82,734,82,729,82
63,780,88,780,88,770,88
64,383,134,395,134,394,134
65,603,17,664,17,663,17
66,829,359,835,359,834,359
67,995,299,995,299,996,299
68,13,13,14,13,11,13
69,745,16,752,16,750,16
70,532,57,539,57,533,57
71,954,232,954,232,954,232
72,51,49,76,49,77,49
74,1618,334,1619,334,1612,334
75,909,618,909,618,869,618
77,1443,476,1443,476,1443,476
78,809,9,809,9,805,9
79,985,99,985,99,985,99
80,637,310,637,310,631,310
81,845,101,845,101,845,101
82,502,87,502,87,502,87
83,832,91,843,91,841,91
84,1097,415,1097,415,1097,415
85,211,21,211,21,167,21
86,358,50,414,50,414,50
87,68,20,73,20,68,20
89,471,30,504,30,462,30
90,24,4,27,4,22,4
93,985,3,985,3,981,3
94,1103,303,1103,303,1097,303
95,484,42,491,42,480,42
97,1205,67,1205,67,1205,67
98,894,48,894,48,894,48
99,702,18,702,18,701,18
100,678,94,678,94,678,94
102,21,30,21,30,21,30
103,0,6,453,6,0,6
104,647,213,647,213,643,213
105,1690,185,1703,185,1702,185
106,1598,399,1608,399,1543,399
107,1275,94,1275,94,1274,94
111,0,4,0,4,0,4
112,1708,37,1708,37,1780,37
113,420,20,452,20,413,20
114,1356,215,1368,215,1367,215
115,274,68,274,68,269,68
116,1324,921,1324,921,1323,921
117,694,14,694,14,694,14
118,638,221,638,221,631,221
119,658,75,666,75,666,75
120,596,45,596,45,596,45
122,218,98,224,98,220,98
125,780,169,780,169,774,169
126,91,136,91,136,85,136
127,625,961,634,961,633,961
128,505,72,517,72,423,72
129,1231,39,1231,39,1231,39
131,930,216,951,216,795,216
133,427,7,436,7,699,7
134,361,23,385,23,385,23
135,157,40,158,40,174,40
136,347,48,348,48,343,48
137,0,3,10,3,0,3
139,236,28,236,28,225,28
140,208,41,213,41,208,41
143,1120,152,1123,152,1123,152
144,739,57,739,57,743,57
145,949,451,949,451,949,451
146,1112,699,1112,699,1112,699
147,1422,203,1429,203,1429,203
148,1344,27,1344,27,1344,27
150,1,3,1,3,0,3
151,112,5,112,5,109,5
152,825,8,825,8,820,8
153,386,68,389,68,377,68
154,865,7,879,7,879,7
155,0,1,0,1,0,1
156,329,11,354,11,302,11
157,504,19,504,19,504,19
158,1388,183,1388,183,1388,183
159,1148,33,1222,33,1221,33
161,905,101,906,101,906,101
163,1318,51,1318,51,1317,51
164,927,119,927,119,925,119
165,0,2,0,2,16,2
166,920,193,920,193,915,193
167,36,18,39,18,13,18
171,0,4,3,4,0,4
172,789,5,797,5,797,5
173,729,11,729,11,729,11
175,8,116,64,116,63,116
176,1574,533,1574,533,1574,533
177,990,19,1097,19,1095,19
178,1715,244,1716,244,2454,244
179,0,63,76,63,35,63
180,799,216,799,216,799,216
181,45,7,87,7,89,7
183,103,4,103,4,103,4
184,1,2,1,2,0,2
185,569,13,569,13,567,13
186,0,2,0,2,0,2
187,998,104,998,104,997,104
188,851,55,851,55,857,55
189,628,106,628,106,616,106
191,1127,53,1127,53,1119,53
192,0,1,0,1,0,1
193,1487,101,1599,101,1593,101
194,781,67,787,67,772,67
196,1485,43,1487,43,1482,43
197,0,1,0,1,0,1
198,0,1,0,1,0,1
199,804,159,804,159,805,159
200,16,18,21,18,15,18
201,442,40,442,40,442,40
203,289,11,783,11,397,11
204,205,18,216,18,216,18
205,785,347,919,347,919,347
207,1051,113,1051,113,1051,113
208,711,20,711,20,711,20
209,814,136,814,136,810,136
210,316,26,316,26,325,26
211,267,44,267,44,262,44
212,41,6,41,6,41,6
213,156,40,380,40,371,40
214,876,215,876,215,876,215
215,845,18,845,18,845,18
216,733,6,738,6,735,6
217,879,402,879,402,805,402
218,500,169,500,169,495,169
219,363,63,369,63,368,63
220,781,84,781,84,781,84
222,28,6,28,6,15,6
223,0,1,0,1,0,1
224,557,58,557,58,557,58
225,53,6,53,6,53,6
226,51,16,51,16,51,16
227,406,26,406,26,406,26
228,553,32,555,32,554,32
229,0,1,0,1,0,1
230,623,464,626,464,567,464
233,1019,134,1019,134,1019,134
234,451,5,451,5,452,5
235,0,8,22,8,1,8
236,0,4,4,4,0,4
237,857,138,968,138,967,138
238,979,75,1092,75,1079,75
239,91,6,168,6,93,6
242,568,54,568,54,573,54
243,1152,246,1159,246,1160,246
244,1319,314,1322,314,1316,314
245,1674,15,1684,15,1684,15
247,669,71,669,71,670,71
248,1268,16,1268,16,1260,16
250,155,9,155,9,120,9
252,301,10,302,10,302,10
253,76,18,76,18,68,18
254,1113,409,1118,409,1398,409
255,1156,107,1163,107,1162,107
256,0,1,0,1,0,1
257,0,2,2,2,0,2
258,306,144,778,144,771,144
259,1252,54,1356,54,1351,54
261,489,28,537,28,502,28
263,121,6,121,6,0,6
264,480,10,480,10,480,10
266,7,43,51,43,48,43
267,33,3,33,3,28,3
269,76,14,83,14,72,14
271,325,8,326,8,273,8
272,546,18,546,18,544,18
273,0,2,0,2,0,2
274,874,276,883,276,883,276
275,17,12,18,12,18,12
276,1126,68,1126,68,1094,68
279,0,12,60,12,14,12
282,1184,41,1184,41,1184,41
284,0,3,0,3,0,3
286,0,4,14,4,0,4
287,1558,313,1558,313,1557,313
288,0,2,0,2,0,2
289,823,349,823,349,820,349
292,289,38,289,38,163,38
294,321,25,347,25,346,25
295,0,1,0,1,0,1
296,1080,130,1080,130,1078,130
298,0,3,0,3,0,3
301,995,140,995,140,995,140
307,147,6,148,6,147,6
308,1262,190,1262,190,1261,190
310,623,4,623,4,596,4
312,921,456,921,456,1660,456
314,1024,295,1034,295,1361,295
315,0,3,0,3,0,3
318,1075,21,1075,21,1074,21
321,278,40,411,40,399,40
322,0,2,12,2,0,2
324,0,4,0,4,0,4
325,69,4,69,4,72,4
326,774,82,799,82,1532,82
327,904,32,904,32,903,32
328,0,2,3,2,0,2
330,171,420,171,420,496,420
332,303,173,303,173,938,173
333,53,154,53,154,777,154
335,0,44,-323,44,99,44
336,1349,18,1349,18,2034,18
338,0,67,-267,67,470,67
339,0,11,-173,11,94,11
340,999,101,999,101,1529,101
341,0,41,-263,41,11,41
346,109,222,121,222,828,222
347,1735,18,1741,18,1916,18
348,1622,144,1741,144,1805,144
349,1534,359,1534,359,1532,359
350,1515,157,1535,157,1308,157
351,1571,68,1571,68,1571,68
352,14,6,14,6,0,6
353,0,2,0,2,0,2
354,0,2,0,2,0,2
355,330,7,330,7,330,7
356,50,8,50,8,50,8
357,947,148,947,148,939,148
358,949,9,949,9,949,9
359,0,1,0,1,0,1
361,1313,120,1314,120,1307,120
362,992,85,992,85,988,85
363,280,26,280,26,280,26
364,576,110,576,110,554,110
365,364,5,364,5,364,5
366,932,115,932,115,928,115
367,434,92,435,92,422,92
369,733,72,735,72,561,72
370,147,25,147,25,141,25
371,1,4,1,4,1,4
372,1359,90,1359,90,1358,90
373,1244,30,1244,30,1236,30
374,209,7,212,7,211,7
375,0,1,0,1,0,1
376,1254,183,1254,183,1250,183
377,205,6,205,6,205,6
378,472,134,472,134,468,134
379,70,14,74,14,71,14
380,620,20,623,20,623,20
381,1295,50,1297,50,1297,50
382,1071,110,1071,110,1070,110
383,1185,29,1185,29,1125,29
384,28,3,28,3,28,3
385,10,2,10,2,10,2
387,12,11,12,11,12,11
389,1102,237,1102,237,1078,237
390,182,107,182,107,179,107
393,204,16,204,16,204,16
394,10,2,10,2,10,2
395,0,10,6,10,0,10
396,0,4,194,4,0,4
399,84,8,84,8,85,8
400,324,5,324,5,324,5
401,0,2,53,2,0,2
402,468,17,672,17,671,17
403,910,65,918,65,917,65
404,354,19,354,19,331,19
406,0,2,0,2,0,2
407,111,22,112,22,109,22
408,0,1,0,1,0,1
409,1037,314,1037,314,1037,314
410,636,127,647,127,643,127
411,216,6,216,6,165,6
412,853,215,853,215,861,215
413,0,1,0,1,0,1
414,0,1,-329,1,0,1
415,877,62,877,62,875,62
416,492,14,492,14,492,14
417,1378,28,1379,28,1378,28
418,0,3,1,3,0,3
419,565,54,566,54,566,54
420,0,1,0,1,0,1
421,0,1,0,1,0,1
423,544,34,545,34,538,34
424,0,1,0,1,0,1
426,603,65,617,65,615,65
427,516,57,517,57,517,57
428,34,2,34,2,34,2
429,149,4,150,4,149,4
430,91,13,91,13,91,13
432,483,141,483,141,483,141
433,0,1,0,1,0,1
434,456,97,456,97,456,97
436,1181,193,1181,193,1352,193
437,1402,221,1406,221,1405,221
438,813,11,813,11,813,11
439,0,3,0,3,0,3
440,0,3,2,3,0,3
442,80,2,80,2,74,2
443,0,1,0,1,0,1
445,0,1,0,1,0,1
447,0,2,4,2,0,2
448,108,10,906,10,906,10
449,0,5,83,5,0,5
450,0,7,0,7,0,7
451,1,17,3,17,0,17
452,710,49,710,49,711,49
453,118,5,118,5,118,5
454,606,14,612,14,609,14
455,338,23,357,23,210,23
456,534,43,534,43,534,43
457,37,24,42,24,2,24
460,98,4,98,4,92,4
461,0,1,0,1,0,1
462,241,12,248,12,239,12
463,62,9,62,9,62,9
465,97,68,106,68,105,68
466,259,3,259,3,259,3
467,0,78,481,78,349,78
468,0,2,27,2,0,2
469,714,10,717,10,717,10
470,993,4,993,4,993,4
471,1211,184,1212,184,1212,184
472,29,10,40,10,33,10
473,1,11,7,11,0,11
474,79,12,79,12,79,12
475,746,49,746,49,1463,49
479,0,6,0,6,0,6
480,0,2,0,2,0,2
482,29,18,43,18,27,18
483,0,2,0,2,0,2
484,313,13,336,13,336,13
485,482,69,482,69,482,69
487,356,15,356,15,355,15
488,0,15,12,15,6,15
489,217,40,222,40,222,40
490,0,2,0,2,0,2
491,0,1,-1,1,0,1
494,0,24,29,24,28,24
495,0,4,8,4,0,4
496,646,20,653,20,638,20
497,0,1,0,1,0,1
498,1629,32,1629,32,1638,32
499,706,30,706,30,703,30
500,920,105,920,105,886,105
501,967,15,967,15,967,15
502,48,27,48,27,45,27
504,0,5,10,5,0,5
505,133,54,139,54,119,54
506,724,199,724,199,720,199
507,222,9,228,9,228,9
508,194,5,194,5,193,5
509,1,5,1,5,0,5
510,714,35,714,35,714,35
512,188,32,189,32,188,32
513,0,1,0,1,0,1
514,635,104,636,104,629,104
515,576,18,580,18,574,18
517,468,18,468,18,468,18
518,320,15,320,15,318,15
519,15,7,15,7,15,7
520,0,1,0,1,0,1
521,0,2,0,2,0,2
522,0,1,0,1,0,1
523,309,10,309,10,307,10
524,181,8,181,8,181,8
525,80,13,80,13,77,13
526,764,8,764,8,757,8
527,371,14,371,14,371,14
528,81,17,81,17,81,17
530,0,2,0,2,0,2
533,498,19,498,19,496,19
534,171,12,197,12,152,12
535,325,15,335,15,342,15
536,0,2,1,2,0,2
537,655,75,655,75,604,75
538,0,2,16,2,0,2
539,802,19,802,19,795,19
540,954,10,954,10,952,10
541,0,6,19,6,0,6
544,0,2,99,2,0,2
545,371,32,378,32,377,32
546,2,43,2,43,1,43
547,660,6,660,6,659,6
549,0,9,29,9,0,9
550,361,29,361,29,360,29
551,0,2,0,2,0,2
555,0,2,0,2,0,2
556,118,4,118,4,115,4
557,1301,10,1377,10,1373,10
558,2,2,2,2,0,2
559,0,7,2,7,0,7
560,0,8,1,8,0,8
562,23,7,23,7,23,7
563,96,2,96,2,44,2
564,0,2,2,2,0,2
565,182,7,182,7,182,7
566,141,18,146,18,145,18
568,0,2,129,2,0,2
569,0,2,27,2,0,2
570,816,24,816,24,759,24
571,0,2,0,2,0,2
573,190,8,191,8,185,8
574,302,22,303,22,303,22
575,0,4,3,4,0,4
576,2,9,2,9,1,9
577,69,7,69,7,69,7
579,824,14,824,14,826,14
580,697,21,702,21,702,21
581,282,14,282,14,276,14
582,20,24,175,24,154,24
583,13,92,171,92,157,92
584,59,12,62,12,51,12
585,199,112,234,112,234,112
586,0,2,5,2,0,2
587,0,4,0,4,0,4
588,0,2,0,2,0,2
589,331,76,365,76,335,76
590,57,3,57,3,57,3
592,0,1,0,1,0,1
593,0,6,0,6,0,6
594,265,12,287,12,287,12
595,13,5,13,5,21,5
596,58,7,62,7,60,7
597,651,45,651,45,645,45
598,0,1,0,1,0,1
599,77,17,77,17,77,17
600,527,28,531,28,529,28
601,73,34,79,34,77,34
602,136,22,143,22,143,22
603,294,10,315,10,312,10
604,0,1,0,1,0,1
605,184,15,184,15,184,15
607,10,3,10,3,2,3
608,686,125,686,125,686,125
609,559,3,559,3,559,3
610,35,21,36,21,35,21
611,98,8,101,8,98,8
613,7,2,7,2,8,2
615,0,1,0,1,0,1
617,400,8,400,8,372,8
618,57,24,57,24,56,24
620,0,2,1,2,0,2
621,65,8,99,8,70,8
622,0,12,6,12,6,12
623,32,53,143,53,105,53
625,37,4,41,4,27,4
626,0,13,22,13,0,13
627,0,1,0,1,0,1
630,0,2,0,2,0,2
631,0,3,8,3,0,3
632,192,31,192,31,192,31
633,0,1,0,1,0,1
634,91,4,92,4,92,4
635,1,22,20,22,19,22
636,112,101,160,101,156,101
637,0,2,1,2,0,2
638,0,4,2,4,0,4
639,255,33,255,33,315,33
640,269,29,269,29,272,29
641,226,21,226,21,226,21
642,104,49,121,49,121,49
643,0,3,0,3,0,3
644,474,18,474,18,474,18
645,0,5,3,5,0,5
646,0,4,70,4,0,4
647,84,4,84,4,84,4
648,257,10,257,10,245,10
649,369,7,465,7,441,7
650,588,19,970,19,963,19
651,74,25,74,25,73,25
652,0,1,0,1,0,1
655,154,5,154,5,153,5
657,0,1,0,1,0,1
658,0,2,0,2,0,2
659,18,3,18,3,20,3
660,18,20,18,20,20,20
661,0,20,257,20,217,20
662,649,56,649,56,650,56
663,455,3,455,3,443,3
664,0,14,48,14,0,14
665,0,3,32,3,0,3
666,176,14,182,14,181,14
667,305,388,327,388,327,388
668,3,8,3,8,3,8
669,3,4,3,4,3,4
670,251,6,251,6,251,6
671,1244,117,1244,117,1120,117
672,0,3,1,3,0,3
673,0,3,0,3,0,3
674,1103,49,1103,49,1038,49
675,0,24,26,24,7,24
676,0,3,1,3,0,3
677,0,2,0,2,0,2
679,0,1,0,1,0,1
680,91,42,91,42,71,42
681,0,1,-1,1,0,1
