revisionId,linesAdded,linesDeleted,numberOfFilesModified
1,6,0,3
2,6,0,3
3,547,0,7
4,2,1,1
5,8,1,2
6,15,0,2
7,15,0,2
8,1473,1487,46
9,27,0,1
10,113,19,7
11,113,19,7
12,112,19,7
13,171,2,7
14,155,1,7
15,137,2,6
16,152,2,7
17,92,0,3
18,0,1,1
19,2,10,2
20,33,5,5
21,28,23,1
22,1,0,1
23,1,0,1
24,5,0,1
25,41,41,18
26,799,588,1
27,3,5,2
28,3,0,1
29,8,4,2
30,32,5,1
31,31,3,1
32,32,3,1
33,32,3,1
34,31,4,1
35,32,4,1
36,31,3,1
37,26,5,1
38,7,1,1
39,226,0,1
40,182,0,1
41,11,6,2
42,48,1,4
43,44,3,4
44,56,0,4
45,44,3,4
46,803,829,1
47,803,829,1
48,1,1,1
49,306,279,1
50,306,279,1
51,1002,452,1
52,1002,452,1
53,1002,452,1
54,34,82,12
55,34,82,12
56,34,82,12
57,1,1,1
58,14,16,4
59,79,12,3
60,4,1,1
61,3,0,1
62,3,0,1
63,12,16,2
64,12,16,2
65,1,2,1
66,1,2,1
67,134,96,42
68,2191,254,4
69,2117,180,4
70,280,0,6
71,300,0,6
72,109,114,2
73,109,114,2
74,167,176,2
75,96,184,4
76,46,0,3
77,55,0,3
78,11,0,2
79,6,0,2
80,1689,1,19
81,1689,1,19
82,1682,0,18
83,1517,1,19
84,1534,0,18
85,47,20,9
86,49,20,9
87,128,27,1
88,0,0,1
89,3,3,2
90,2,2,1
91,111,188,2
92,2,24,3
93,7,0,1
94,2,1,1
95,111,23,4
96,56,3,3
97,126,6,4
98,75,3,4
99,112,23,4
100,112,23,4
101,110,23,4
102,111,23,4
103,111,23,4
104,126,6,4
105,75,3,4
106,56,3,3
107,112,24,4
108,101,3,4
109,6,0,1
110,8,75,6
111,69,65,9
112,67,62,9
113,69,65,9
114,67,62,9
115,67,62,9
116,67,62,9
117,67,62,9
118,359,75,13
119,359,75,13
120,350,67,12
121,361,75,13
122,72,82,11
123,63,59,11
124,72,82,11
125,72,82,11
126,39,40,2
127,39,40,2
128,4,0,1
129,11,14,2
130,9,13,2
131,4,4,1
132,3,4,1
133,12,7,1
134,1,1,1
135,3,2,1
136,32,32,2
137,32,32,2
138,13,6,6
139,11,6,6
140,10,6,5
141,3,1,1
142,3,1,1
143,19,0,2
144,19,0,2
145,1191,23,14
146,1197,23,15
147,668,389,19
148,670,391,19
149,668,389,19
150,1191,23,14
151,1191,23,14
152,1191,23,14
153,670,391,19
154,0,0,16
155,11,18,6
156,103,6,23
157,101,3,23
158,103,6,23
159,27,8,1
161,3,1,1
162,3,1,1
163,76,3,4
164,48,3,2
165,13,0,3
166,14,6,1
167,26,31,9
168,6,6,2
169,7,7,2
170,7,7,2
171,61,2,5
172,73,0,4
173,73,0,4
174,654,28,1
175,439,0,7
176,6,2,1
177,27,47,2
178,43,41,3
179,43,40,3
180,24,0,1
181,18,10,2
182,20,0,1
183,4,1,2
184,4,1,2
185,76,2,2
186,61,1,2
187,57,1,2
188,80,3,3
189,76,2,2
190,79,2,2
191,78,2,3
192,63,2,2
193,80,3,3
194,84,3,3
195,156,86,9
196,114,84,7
197,114,84,7
198,114,84,7
199,118,85,7
200,14,0,1
201,1,1,1
202,6,0,3
203,4,2,1
204,16,7,1
205,9,7,1
206,18,8,1
207,18,8,1
208,6,10,5
209,1,2,1
210,14,14,10
211,18,2,1
212,19,2,1
213,18,2,1
214,15,6,1
215,115,193,1
216,3,1,1
217,0,2,1
218,59,2,3
219,117,20,13
220,87,12,3
221,86,12,3
222,80,9,3
223,87,12,3
224,80,9,3
225,87,12,3
226,709,194,24
227,813,116,22
228,5620,116,22
229,776,115,21
230,779,116,21
231,668,5,18
232,555,116,20
233,437,180,13
234,487,116,13
235,634,5,14
236,1,0,1
237,5,5,1
238,177,8,11
239,397,56,9
240,386,45,9
241,5,10,1
242,5,10,1
243,9,4,2
244,9,4,2
245,92,0,3
246,92,0,3
247,92,0,3
248,104,0,3
249,92,0,3
250,104,0,3
251,16,6,2
252,16,6,2
253,2,2,1
254,2,2,1
255,31,34,1
256,31,34,1
257,29,32,1
258,9,3,2
259,9,3,2
260,15,14,3
261,15,14,3
262,33,0,1
263,33,0,1
264,30,2,1
265,30,2,1
266,1,1,1
267,1,1,1
268,9,1,1
269,9,1,1
270,9,1,1
271,9,1,1
272,14,4,2
273,14,4,2
274,2,3,1
275,2,3,1
276,4,9,1
277,4,9,1
278,2,1,1
279,2,1,1
280,2,1,1
281,2,2,1
282,2,2,1
283,119,119,60
284,119,119,60
285,149,80,43
286,149,80,43
287,101,108,65
288,101,108,65
289,13,1,2
290,13,1,2
291,4,15,3
292,4,15,3
293,11,9,1
294,11,9,1
295,5,4,1
296,5,4,1
297,2,1,1
298,2,1,1
299,1,0,1
300,1,0,1
301,5,0,1
302,5,0,1
303,2,4,1
304,2,4,1
305,21,20,2
306,21,20,2
307,15,6,1
308,15,6,1
309,3,1,1
310,3,1,1
311,1179,0,1
312,1179,0,1
313,30,112,3
314,30,112,3
315,31,105,3
316,31,104,3
317,12,7,1
318,12,7,1
319,68,0,1
320,68,0,1
321,20,20,19
322,20,20,19
323,3,3,2
324,32,14,4
325,32,14,4
326,3,0,1
327,3,0,1
328,3,0,1
329,128,205,49
330,127,204,48
331,123,200,45
332,128,205,49
333,4,4,1
334,3,4,1
335,3,4,1
336,3,4,1
337,3,4,1
338,3,4,1
339,6,22,8
340,6,22,8
341,108,7,9
342,108,7,9
343,109,7,9
344,108,7,9
345,33,6,2
346,45,5,3
347,45,5,3
348,45,5,3
349,45,5,3
350,8,4,2
351,8,4,2
352,8,4,2
353,2,2,2
354,20,1,3
355,20,1,3
356,3,4,1
357,3,4,1
358,2,2,1
359,26,2,2
360,26,2,2
361,29,2,2
362,29,2,2
363,26,2,2
364,25,26,11
365,25,26,11
366,26,5,4
367,26,5,4
368,17,17,9
369,17,17,9
370,18,18,10
371,17,17,9
372,28,7,4
373,28,7,4
374,28,7,4
375,348,8,12
376,348,8,12
377,348,8,12
378,348,8,12
379,348,8,12
380,348,8,12
381,372,276,13
382,372,276,13
383,4,3,1
384,4,3,1
385,12,12,1
386,12,12,1
387,2,2,1
388,2,2,1
389,14,16,4
390,14,16,4
391,1,0,1
392,1,0,1
393,2,0,1
394,2,0,1
395,1,16,3
396,1,16,3
397,27,12,1
398,27,12,1
399,27,12,1
400,12,5,3
401,12,4,3
402,12,4,3
403,12,4,3
404,12,4,3
405,2,0,1
406,2,0,1
407,2,0,1
408,107,107,1
409,107,107,1
410,1,1,1
411,1,1,1
412,3,0,1
413,3,0,1
414,1,434,22
415,1,434,22
416,22,49,1
417,22,49,1
418,22,49,1
419,22,49,1
420,22,49,1
421,22,49,1
422,52,15,8
423,52,15,8
424,153,130,28
425,126,140,28
426,154,131,28
427,154,131,28
428,120,131,27
429,151,128,28
430,120,131,27
431,3,30,1
432,3,30,1
433,13,4,1
434,13,4,1
435,3,0,1
436,3,0,1
437,12,0,2
438,12,0,2
439,12,0,2
440,12,0,2
441,16,6,4
442,16,6,4
443,22,19,6
444,22,19,6
445,4,1,1
446,4,1,1
447,41,31,2
448,41,31,2
449,13,3,2
450,13,3,2
451,24,7,4
452,24,7,4
453,47,17,5
454,47,17,5
455,3,35,5
456,3,35,5
457,27,11,5
458,27,11,5
459,29,25,8
460,29,25,8
461,0,6,1
462,0,6,1
463,328,239,13
464,328,239,13
465,24,20,1
466,24,20,1
467,20,6,1
468,20,6,1
469,9,5,1
470,9,5,1
471,27,29,4
472,27,29,4
473,4,8,2
474,4,8,2
475,38,7,1
476,38,7,1
477,10,8,1
478,10,8,1
479,178,33,5
480,178,33,5
481,29,29,2
482,29,29,2
483,29,29,2
484,1,3,1
485,1,3,1
486,1,1,1
487,1,1,1
488,31,1,2
489,31,1,2
490,31,1,2
491,31,1,2
492,1,1,1
493,1,1,1
494,1,1,1
495,1,1,1
496,10,10,1
497,10,10,1
498,2,2,2
499,2,2,2
500,68,21,18
501,68,21,18
502,17,13,4
503,17,13,4
504,10,9,3
505,10,9,3
506,7,8,1
507,7,8,1
508,0,27,2
509,0,27,2
510,0,27,2
511,0,27,2
512,24,3,1
513,32,9,11
514,7,1,1
515,4,1,1
516,59,12,4
517,60,12,4
518,46,12,4
519,77,13,5
520,46,12,4
521,77,13,5
522,74,13,5
523,46,12,4
524,8,1,1
525,1,1,1
526,8,1,1
527,1,1,1
528,5,1,1
529,3,1,1
530,1,1,1
531,11,0,1
532,11,0,1
533,7,4,1
534,7,4,1
535,7,4,1
536,1,1,1
537,1,1,1
538,4,1,1
539,19,1,2
540,19,1,2
541,17,1,2
542,5801,0,1
543,5801,0,1
544,5801,0,1
545,1195,0,1
546,1195,0,1
547,1195,0,1
548,1195,0,1
549,1195,0,1
550,1195,0,1
551,4409,0,1
552,4409,0,1
553,4409,0,1
554,2,2,1
555,2,2,1
556,26,31,2
557,26,31,2
558,16,15,1
559,16,15,1
560,2,2,1
561,2,2,1
562,2,2,1
563,2,2,1
564,2,2,1
565,2,2,1
566,2,2,1
567,47,3,1
568,47,3,1
569,47,3,1
570,47,3,1
571,47,3,1
572,47,3,1
573,47,3,1
574,47,3,1
575,20,14,2
576,20,14,2
577,20,14,2
578,20,14,2
579,20,14,2
580,20,14,2
581,20,14,2
582,21,0,2
583,21,0,2
584,21,0,2
585,21,0,2
586,21,0,2
587,21,0,2
588,21,0,2
589,1213,0,1
590,1213,0,1
591,2,2,1
592,2,2,1
593,8,8,1
594,8,8,1
595,29,59,4
596,29,59,4
597,4,18,1
598,4,18,1
599,1,1,1
600,1,1,1
601,6,6,2
602,6,6,2
603,0,6,1
604,0,6,1
605,0,6,1
606,32,1,1
607,32,1,1
608,32,1,1
609,8,0,1
610,8,0,1
611,8,0,1
612,8,0,1
613,8,0,1
614,8,0,1
615,21,2,4
616,21,2,4
617,1,1,1
618,1,1,1
619,19,12,6
620,19,12,6
621,19,12,6
622,19,12,6
623,229,0,4
624,229,0,4
625,5,1,1
626,5,1,1
627,35,35,9
628,35,35,9
629,41,3,4
630,41,3,4
631,41,3,4
632,11,4,1
633,11,4,1
634,63,6,12
635,63,6,12
636,5,2,1
637,5,2,1
638,5,2,1
639,5,2,1
640,5,2,1
641,97,33,2
642,97,33,2
643,1,1,1
644,3,1,1
645,1,1,1
646,97,2,2
647,97,2,2
648,44,0,2
649,43,0,2
650,43,0,2
651,44,0,2
652,43,0,2
653,63,42,2
654,63,42,2
655,138,22,5
656,138,22,5
657,17,2,2
658,17,2,2
659,17,2,2
660,47,8,9
661,47,8,9
662,47,8,9
663,27,29,18
664,27,29,18
665,14,70,12
666,14,70,12
667,271,1426,133
668,271,1426,133
669,499,453,142
670,499,453,142
671,26,3,1
672,18,2,1
673,27,3,1
674,26,3,1
675,1,1,1
676,1,1,1
677,18,19,1
678,18,19,1
679,21,2,4
680,21,2,4
681,21,2,4
682,21,2,4
683,21,2,4
684,3,0,1
685,3,0,3
686,3,0,1
687,13,3,1
688,13,3,1
689,28,9,2
690,28,9,2
691,105,87,1
692,105,87,1
693,487,89,12
694,478,90,12
