authorId,ecosystemTenure,changeAcitivity,reviewTenure,reviewActivity,appBlockTenure,appBlockActivity
1,570,358,570,358,567,358
3,689,49,693,49,647,49
4,1541,783,1542,783,1512,783
5,1464,4420,1464,4420,1464,4420
6,1543,1393,1545,1393,1544,1393
7,1375,352,1376,352,1356,352
8,1147,71,1147,71,1146,71
9,1575,1092,1575,1092,1574,1092
10,1399,1807,1399,1807,1398,1807
11,261,49,272,49,271,49
12,1414,3279,1414,3279,1414,3279
14,361,118,382,118,379,118
15,739,505,739,505,739,505
16,179,731,179,731,179,731
17,1433,166,1433,166,1432,166
18,777,571,777,571,771,571
19,2,5,10,5,7,5
20,76,9,87,9,76,9
21,1653,391,1653,391,1652,391
22,257,178,277,178,248,178
23,993,442,993,442,987,442
24,772,1639,779,1639,776,1639
25,771,364,775,364,774,364
26,21,7,22,7,22,7
27,279,617,279,617,279,617
28,1333,842,1334,842,1334,842
29,0,2,21,2,0,2
30,92,43,94,43,94,43
31,11,6,11,6,11,6
32,162,18,162,18,161,18
33,1368,1380,1370,1380,1368,1380
34,35,35,51,35,51,35
35,553,376,553,376,543,376
36,1415,525,1416,525,1414,525
37,679,2698,679,2698,677,2698
38,595,366,595,366,590,366
39,316,811,378,811,367,811
40,1525,257,1525,257,1525,257
41,1399,951,1399,951,1399,951
42,0,5,23,5,0,5
43,135,54,157,54,156,54
44,607,85,610,85,604,85
45,1110,375,1111,375,1110,375
46,401,77,402,77,401,77
47,86,36,90,36,89,36
48,1593,2418,1593,2418,1592,2418
49,475,534,475,534,468,534
50,1235,150,1236,150,1236,150
51,42,27,53,27,51,27
52,1242,150,1245,150,1244,150
53,355,20,358,20,322,20
54,230,121,230,121,221,121
55,10,6,10,6,7,6
56,101,14,142,14,141,14
57,1084,443,1085,443,1084,443
58,1408,767,1408,767,1408,767
59,6,10,6,10,4,10
61,3,16,11,16,11,16
62,213,28,256,28,255,28
64,1147,665,1147,665,1145,665
65,1409,32,1419,32,1417,32
66,718,254,724,254,724,254
67,116,20,177,20,121,20
68,0,40,51,40,74,40
69,169,169,169,169,161,169
70,1581,2558,1581,2558,1581,2558
71,246,474,268,474,267,474
72,992,925,992,925,992,925
73,74,16,107,16,103,16
74,240,206,240,206,240,206
75,1304,428,1304,428,1302,428
76,35,4,35,4,34,4
77,1576,17,1576,17,1574,17
78,1362,881,1363,881,1363,881
80,672,151,675,151,672,151
81,1379,320,1380,320,1380,320
82,1514,634,1514,634,1514,634
83,1588,59,1589,59,1587,59
84,90,35,112,35,87,35
85,0,7,1,7,0,7
86,1472,802,1495,802,1494,802
87,422,69,422,69,421,69
88,555,148,590,148,586,148
89,1247,515,1248,515,1244,515
90,0,3,0,3,0,3
91,238,147,248,147,247,147
92,1381,47,1393,47,1392,47
93,1157,403,1158,403,1157,403
94,547,191,547,191,547,191
95,1592,456,1597,456,1597,456
96,964,379,964,379,961,379
97,0,2,4,2,0,2
98,94,7,94,7,91,7
99,209,58,218,58,218,58
100,1429,437,1437,437,1434,437
101,1,6,1,6,1,6
102,54,15,82,15,82,15
103,353,144,353,144,352,144
105,26,12,62,12,53,12
106,1321,110,1348,110,1346,110
107,0,4,1,4,0,4
108,4,11,9,11,8,11
109,116,7,117,7,106,7
110,245,55,246,55,245,55
111,0,3,6,3,0,3
112,0,2,1,2,0,2
113,1039,452,1040,452,1036,452
114,1317,269,1318,269,1317,269
115,391,58,393,58,392,58
116,75,24,75,24,75,24
117,556,606,607,606,603,606
118,1652,530,1653,530,1653,530
119,1,13,2,13,1,13
120,0,9,5,9,0,9
121,0,6,1,6,0,6
122,24,18,24,18,24,18
123,137,9,138,9,137,9
124,304,11,311,11,301,11
125,0,2,0,2,0,2
126,1,10,19,10,15,10
127,0,2,1,2,0,2
128,7,9,9,9,7,9
129,233,218,240,218,240,218
130,1131,1426,1156,1426,1156,1426
131,87,12,87,12,86,12
132,1304,112,1308,112,1306,112
133,258,303,260,303,260,303
134,0,4,1,4,0,4
135,61,6,73,6,56,6
136,559,88,560,88,559,88
137,1410,655,1462,655,1460,655
138,283,21,284,21,283,21
139,0,3,4,3,0,3
140,1272,263,1274,263,1273,263
141,0,6,0,6,0,6
142,206,25,206,25,206,25
144,0,3,85,3,0,3
145,107,38,114,38,113,38
146,672,194,673,194,669,194
147,122,176,124,176,122,176
148,76,89,76,89,94,89
149,12,12,145,12,142,12
150,104,48,106,48,103,48
152,597,80,609,80,609,80
153,211,62,212,62,211,62
154,901,92,902,92,902,92
155,0,3,1,3,0,3
156,28,14,31,14,28,14
157,111,87,112,87,111,87
158,0,7,37,7,0,7
159,46,23,48,23,45,23
160,471,119,472,119,453,119
161,366,59,392,59,407,59
162,878,61,881,61,872,61
163,1395,144,1395,144,1394,144
164,0,2,0,2,0,2
165,19,22,90,22,82,22
166,71,87,160,87,160,87
167,0,6,79,6,0,6
168,520,27,521,27,509,27
169,349,63,349,63,347,63
170,0,16,1,16,0,16
171,1,7,2,7,1,7
172,175,33,188,33,140,33
173,441,26,442,26,433,26
174,1087,69,1109,69,1106,69
175,1041,56,1049,56,1049,56
176,26,25,85,25,84,25
177,0,4,9,4,0,4
178,143,18,143,18,143,18
179,72,31,87,31,76,31
